STU_ID,BYS87A,BYS87C,BYS87F,F1S18A,F1S18B,F1S18C,F1S18D,F1S18E
101101,3,3,3,3,2,2,2,3
101102,2,2,2,3,3,3,3,3
101104,3,3,3,2,3,3,2,2
101105,2,2,1,3,2,2,3,4
101106,2,2,2,3,3,3,4,4
101107,2,2,1,NA,NA,NA,NA,NA
101108,2,3,3,2,2,2,3,3
101109,2,3,1,NA,NA,NA,NA,NA
101110,2,3,2,NA,NA,NA,NA,NA
101111,2,3,1,2,2,2,2,2
101112,2,3,2,NA,NA,NA,NA,NA
101113,2,2,2,4,4,4,4,4
101114,2,3,2,NA,NA,NA,NA,NA
101115,2,2,2,3,3,3,4,3
101116,4,4,4,2,2,2,2,3
101117,3,3,3,2,2,1,2,2
101118,1,3,3,2,1,2,3,4
101119,2,4,4,NA,NA,NA,NA,NA
101120,3,4,4,NA,NA,NA,NA,NA
101121,3,2,2,4,4,4,4,4
101122,4,4,4,3,3,2,4,4
101123,3,3,3,4,3,3,3,4
101124,2,2,2,2,2,2,2,2
101125,NA,NA,NA,NA,NA,NA,NA,NA
101126,2,2,2,3,2,2,3,3
101127,2,3,3,3,2,2,3,3
101128,2,2,2,3,3,4,4,3
101129,4,4,4,1,1,1,1,1
101131,3,4,3,NA,NA,NA,NA,NA
101132,2,4,4,NA,NA,NA,NA,NA
101133,3,4,4,4,4,4,4,4
101201,NA,NA,NA,2,1,1,2,2
101203,NA,NA,NA,NA,NA,NA,NA,NA
101207,NA,NA,NA,2,2,2,3,3
101209,NA,NA,NA,3,2,2,3,3
101210,NA,NA,NA,4,3,4,4,4
101211,NA,NA,NA,2,2,2,3,3
101212,NA,NA,NA,NA,NA,NA,NA,NA
101214,2,3,2,2,2,2,3,2
101215,NA,NA,NA,2,2,2,3,3
101217,4,3,4,NA,NA,NA,NA,NA
101219,3,3,3,2,2,2,2,2
101221,2,2,2,3,4,3,4,4
101222,NA,NA,NA,NA,NA,NA,NA,NA
101223,NA,NA,NA,2,2,2,2,2
101226,3,3,3,2,2,2,2,2
101227,NA,NA,NA,NA,NA,NA,NA,NA
102101,3,3,1,2,2,2,2,2
102103,3,3,2,NA,NA,NA,NA,NA
102104,NA,NA,NA,NA,NA,NA,NA,NA
102105,NA,NA,NA,2,3,2,2,2
102106,3,2,1,2,2,3,3,1
102107,2,4,4,NA,NA,NA,NA,NA
102108,NA,NA,2,NA,NA,NA,NA,NA
102109,2,2,1,NA,NA,NA,NA,NA
102111,NA,NA,NA,NA,NA,NA,NA,NA
102112,NA,NA,NA,3,4,3,3,4
102113,2,2,2,NA,NA,NA,NA,NA
102116,3,3,3,NA,NA,NA,NA,NA
102117,2,2,2,3,2,3,2,4
102118,2,2,2,2,2,2,2,2
102120,1,3,4,NA,NA,NA,NA,NA
102121,4,2,2,NA,NA,NA,NA,NA
102122,3,3,1,2,2,2,3,4
102162,NA,NA,NA,NA,NA,NA,NA,NA
102163,NA,NA,NA,NA,NA,NA,NA,NA
102164,NA,NA,NA,NA,NA,NA,NA,NA
102201,2,2,2,2,2,2,2,2
102202,NA,NA,NA,2,2,2,4,3
102203,3,2,3,2,2,2,2,3
102204,2,1,2,4,4,4,4,4
102205,NA,NA,NA,2,2,3,3,4
102206,NA,NA,NA,2,2,3,3,2
102207,1,3,2,NA,NA,NA,NA,NA
102208,1,1,1,4,NA,3,3,4
102209,3,2,2,3,2,2,3,4
