STU_ID,F2PS1AID,F3TZSTEM1TOT,F3TZSTEM2GPA,CREDGRAD
101105,0,8,2.5,0
101115,1,33,2.25,0
101116,1,13,3.25,0
101127,1,8,3.25,0
101129,1,4,3.25,0
101131,1,42,3.25,0
101201,0,0,NA,0
101211,1,20,2.25,0
102106,0,5,3.75,0
102109,NA,0,4,0
102111,0,0,1.75,0
102121,1,24,2.75,0
102164,NA,0,2.5,0
102203,NA,4,2.75,0
102208,1,4,3.25,0
102213,1,17,3.25,0
102216,1,12,3,0
102223,1,5,3,0
103116,1,8,2.5,0
103127,1,30,2.5,0
103210,1,2,3.25,0
103223,NA,10,2.75,0
103314,0,4,3.25,0
103317,1,44,3.75,0
103322,0,7,2.5,0
103323,1,13,3,0
104104,1,6,3,0
104107,1,9,2.75,0
104108,1,5,2.75,0
104112,1,18,3.5,0
104115,1,6,2.25,0
104202,1,56,3,0
104204,1,4,3.75,0
104209,1,8,3.25,0
104214,0,15,3.75,0
104216,0,34,2.75,0
104222,0,9,3.25,0
104231,1,16,3,0
105128,1,5,4,0
105205,0,9,2.25,0
105211,1,27,4,0
105227,1,44,2.5,0
106111,1,16,3.25,0
106202,1,36,3.25,0
106204,1,35,2.75,0
106213,1,11,3.5,0
107115,1,7,3,0
107124,0,17,3.25,0
107125,1,32,3,0
107127,1,20,2.5,0
107128,1,9,3.75,0
107129,1,27,2.75,0
107222,1,14,4,0
107229,1,23,2.75,0
108105,1,14,3.5,0
108107,1,2,3.25,0
108109,1,35,4,0
108111,0,30,2.75,0
108122,1,6,3.5,0
108129,0,16,3.75,0
108208,1,4,3.5,0
108217,0,10,2.25,0
108221,1,32,3.25,0
108226,1,21,2.25,0
109104,1,38,2.25,0
109108,1,25,2.75,0
109109,1,35,3.5,0
109118,0,28,2.25,0
109121,0,25,1.75,0
109202,0,5,3.25,0
109204,1,35,3.75,0
109208,1,1,3.25,0
109212,0,19,3.75,0
109213,1,5,3.5,0
109217,NA,3,4,0
109218,1,35,3,0
109221,1,6,3,0
109230,0,8,3,0
110104,1,18,2.75,0
110105,1,11,3,0
110109,1,1,3.5,0
110116,1,2,3.75,0
110123,1,8,3,0
110201,0,26,3.5,0
110202,0,28,3.25,0
110204,1,3,3.5,0
110205,0,27,3.5,0
110220,1,4,3.5,0
110224,1,29,3,0
110226,NA,2,3.5,0
110227,1,4,3.25,0
111107,1,17,3,0
111114,1,4,2.75,0
111115,1,12,2.5,0
111117,1,42,3.25,0
111120,0,32,4,0
111161,1,12,3.25,0
111162,0,11,3.5,0
111211,1,28,3,0
111213,1,4,3.5,0
112104,1,5,3.75,0
112105,1,8,3.5,0
112107,1,3,3.5,0
112122,0,2,2,0
112201,1,4,3.5,0
112209,0,3,2,0
112211,1,3,2.75,0
112219,1,31,3.75,0
112233,0,3,3.5,0
112234,1,5,3,0
113101,0,2,3,0
113103,NA,5,3.75,0
113113,0,7,3.25,0
113120,1,8,3.25,0
113130,NA,17,3.25,0
113203,1,10,3,0
113205,NA,4,3.5,0
113221,1,12,3.75,0
114101,1,21,2.5,0
114103,1,4,3.75,0
114104,NA,4,3.75,0
114106,0,39,3,0
114108,0,5,3,0
114113,1,25,3.25,0
114115,0,2,3.75,0
114116,0,32,2.5,0
114121,0,0,3.5,0
114122,1,2,3,0
114128,1,21,2.5,0
114129,0,26,3.5,0
114205,1,23,3.25,0
114209,NA,4,2.5,0
115110,1,19,3.5,0
115204,1,18,4,0
115205,0,2,3.5,0
115208,0,46,2.5,0
115211,1,6,3.5,0
115214,1,30,3.25,0
116213,1,12,3.5,0
116216,1,3,2.75,0
116218,1,1,3.75,0
117114,0,20,2.75,0
117123,0,10,2.5,0
117125,1,35,3,0
117210,0,2,3,0
117212,0,33,3.25,0
117219,0,31,4,0
117222,1,3,3.75,0
118112,1,1,3.75,0
118128,1,44,2.5,0
118202,NA,0,3,0
118221,1,4,2.75,0
119106,1,23,2.75,0
119107,1,21,2.75,0
119113,0,2,1.75,0
119116,1,24,3.5,0
119125,1,40,3.25,0
119129,1,18,2.75,0
119225,1,4,3,0
120105,0,34,2.75,0
120108,1,32,3,0
120121,0,42,2.75,0
120123,1,6,2.75,0
120124,0,12,2.5,0
120202,1,25,2.75,0
120204,0,6,3.25,0
120205,1,52,3.25,0
120211,1,9,3.75,0
120213,0,5,2.5,0
120227,1,7,3,0
120229,1,36,3.5,0
120262,0,37,2.75,0
121132,1,14,2.75,0
121212,1,18,2.25,0
121215,1,11,2.25,0
121221,1,2,3.25,0
122110,NA,4,3.25,0
122111,1,11,2.75,0
122113,1,27,2.5,0
122116,0,36,3,0
122119,0,19,2.75,0
122125,NA,7,3.25,0
122126,0,12,3.25,0
122204,1,36,3.25,0
122205,0,19,2.25,0
122211,1,46,2.25,0
122213,1,23,2.75,0
122220,1,25,3,0
122227,1,14,3.5,0
123108,0,19,3,0
123110,0,5,3.25,0
123113,1,0,3,0
123115,0,32,2.25,0
123117,1,23,2.5,0
123216,NA,0,4,0
123218,NA,46,2.25,0
123220,1,1,3.25,0
123224,1,11,3.25,0
123227,1,34,3.5,0
123228,1,13,3.25,0
123232,1,9,3.25,0
123235,1,29,3.25,0
123262,NA,26,3,0
124114,0,11,3,0
124118,NA,9,3.25,0
124128,0,6,2.75,0
124201,1,2,3.75,0
124206,1,3,4,0
124209,1,7,3.25,0
124210,0,21,3.5,0
124213,0,6,3,0
124218,1,3,2.5,0
125105,1,20,3.5,0
125119,1,36,3.25,0
125120,0,39,2.25,0
126103,1,26,3.5,0
126106,1,27,3.5,0
126108,0,9,2.5,0
126117,0,12,3.25,0
126120,1,18,3.25,0
126123,NA,16,3,0
126205,1,3,3.25,0
126213,NA,17,3.5,0
126220,1,2,3.75,0
126228,0,7,3.25,0
127105,1,6,3.5,0
127112,1,20,2.75,0
127119,0,5,2.25,0
127125,NA,27,3.5,0
127209,0,4,3,0
127210,1,2,3.5,0
127215,0,8,2,0
127229,1,26,3.5,0
128102,NA,12,3.5,0
128103,1,18,3.25,0
