Acc (MSE): 0.8630

   actual: [0.9375, 0.0000] [3.7500, 0.0000]
predicted: [0.7490, 0.1871] [2.9958, 0.1871]

   actual: [0.3125, 0.0000] [1.2500, 0.0000]
predicted: [0.7884, 0.1557] [3.1535, 0.1557]

   actual: [0.8125, 0.0000] [3.2500, 0.0000]
predicted: [0.7829, 0.1595] [3.1315, 0.1595]

   actual: [0.7500, 0.0000] [3.0000, 0.0000]
predicted: [0.7837, 0.1593] [3.1348, 0.1593]

   actual: [0.9375, 1.0000] [3.7500, 1.0000]
predicted: [0.7582, 0.1786] [3.0329, 0.1786]

   actual: [0.9375, 0.0000] [3.7500, 0.0000]
predicted: [0.7836, 0.1598] [3.1346, 0.1598]

   actual: [0.9375, 0.0000] [3.7500, 0.0000]
predicted: [0.7846, 0.1587] [3.1385, 0.1587]

   actual: [0.8750, 0.0000] [3.5000, 0.0000]
predicted: [0.7701, 0.1687] [3.0806, 0.1687]

   actual: [0.5000, 0.0000] [2.0000, 0.0000]
predicted: [0.7753, 0.1649] [3.1013, 0.1649]

   actual: [0.8750, 1.0000] [3.5000, 1.0000]
predicted: [0.7704, 0.1687] [3.0816, 0.1687]

   actual: [0.9375, 0.0000] [3.7500, 0.0000]
predicted: [0.7910, 0.1539] [3.1642, 0.1539]

   actual: [0.8750, 0.0000] [3.5000, 0.0000]
predicted: [0.7773, 0.1635] [3.1093, 0.1635]

   actual: [0.7500, 0.0000] [3.0000, 0.0000]
predicted: [0.7738, 0.1658] [3.0951, 0.1658]

   actual: [0.8750, 0.0000] [3.5000, 0.0000]
predicted: [0.7890, 0.1552] [3.1560, 0.1552]

   actual: [0.6875, 1.0000] [2.7500, 1.0000]
predicted: [0.7799, 0.1618] [3.1195, 0.1618]

   actual: [0.6250, 0.0000] [2.5000, 0.0000]
predicted: [0.7669, 0.1720] [3.0675, 0.1720]

   actual: [0.5000, 0.0000] [2.0000, 0.0000]
predicted: [0.7740, 0.1655] [3.0958, 0.1655]

   actual: [0.8125, 0.0000] [3.2500, 0.0000]
predicted: [0.7798, 0.1618] [3.1192, 0.1618]

   actual: [0.3125, 0.0000] [1.2500, 0.0000]
predicted: [0.7884, 0.1557] [3.1535, 0.1557]

   actual: [0.8125, 0.0000] [3.2500, 0.0000]
predicted: [0.7873, 0.1565] [3.1494, 0.1565]

Avg. error: 0.4174
